Lang,Objects,People,Symbols
ar,كائنات,الأشخاص,الرموز
ca,Objectes,Persones,Símbols
cs,Předměty,Lidé,Symboly
da,Objekter,Personer,Symboler
de,Objekte,Personen,Symbole
el,Αντικείμενα,Άτομα,Σύμβολα
en,Objects,People,Symbols
en_AU,Objects,People,Symbols
en_GB,Objects,People,Symbols
es,Objetos,Personas,Símbolos
es_419,Objetos,Personas,Símbolos
fi,Objektit,Henkilöt,Symbolit
fr,Objets,Personnes,Symboles
fr_CA,Objets,Personnes,Symboles
he,אובייקטים,אנשים,סמלים
hi,ऑब्जेक्ट,लोग,चिह्न
hr,Predmeti,Osobe,Simboli
hu,Objektumok,Emberek,Szimbólumok
id,Objek,Orang,Simbol
it,Oggetti,Persone,Simboli
ja,物,人,記号
ko,사물,사람,기호
ms,Objek,Orang,Simbol
nl,Objecten,Mensen,Symbolen
no,Objekter,Personer,Symboler
pl,Obiekty,Osoby,Symbole
pt,Objetos,Pessoas,Símbolos
pt_PT,Objetos,Pessoas,Símbolos
ro,Obiecte,Persoane,Simboluri
ru,Предметы,Люди,Символы
sk,Objekty,Ľudia,Symboly
sv,Objekt,Personer,Symboler
th,วัตถุ,ผู้คน,สัญลักษณ์
tr,Nesneler,Kişiler,Semboller
uk,Об’єкти,Люди,Символи
vi,Đồ vật,Người,Biểu tượng
zh_CN,物体,人物,符号
zh_HK,物件,人物,符號
zh_TW,物品,人物,符號
